	summarized	lineages	abundances	resid	coverage
06_03_24_ENCMAY31_R1__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.7563688897038342), ('KP.2* (KP.2.X)', 0.15014384369636743), ('KP.3* (KP.3.X)', 0.09311621879331933), ('Other', 0.000231356736144907), ('JN.1.7* (JN.1.7.X)', 0.00013958798777483593), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 1.197507198456356e-07)]	JN.1.35 JN.1.11.1 KP.2 KP.2.5 KP.3 KP.1 KP.1.1 KP.3.3 JN.1.51 JN.1.51.1 JN.1.24.1 JN.1.24 LV.2 JN.1.55 LE.1.2 XDQ.1.1 LF.3 JN.1.48.1 JN.1.3 KP.3.2.4 KP.4.2.2 KP.2.3.2 KP.2.3.3 KP.2.3.1 JN.1.49.1 JN.1.49 JN.1.7 JN.1.7.4 JN.1.7.1 JN.1.7.3 GY.4 B.1.593	0.62298213 0.07501275 0.07501275 0.07501275 0.07501275 0.02117865 0.02117865 0.01802450 0.00395778 0.00395778 0.00272479 0.00272479 0.00078868 0.00066137 0.00057604 0.00023125 0.00022899 0.00013358 0.00011733 0.00007897 0.00006687 0.00003945 0.00003945 0.00003945 0.00003935 0.00003935 0.00003490 0.00003490 0.00003490 0.00003490 0.00000012 0.00000011	4.817009744210971	84.47647393238137
06_24_24_PLJUN19_R1__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.449276629770639), ('KP.3* (KP.3.X)', 0.3878739708220328), ('KP.2* (KP.2.X)', 0.16239108176007305), ('Other', 0.0004580501756336055), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 4.672816056338568e-07), ('A', 3.7357759120492425e-07), ('Omicron', 1.2074188880638037e-07)]	KP.3.2 KP.1.1 KP.3.1 KP.2 LB.1.1 LB.1.3 KP.2.3.1 KP.1.1.1 KP.1.1.5 KP.2.10 KP.1.2 KP.5 KP.2.15 KP.2.13 KP.2.2 LF.3 XDP.3 KP.3.2.4 KP.2.9 XDP.1 XDV JN.1.29.1 KP.2.16 XDQ.1.1 JQ.2 GN.1.4 A.19 B.1.36.1 FF.1	0.21850267 0.21840428 0.16920699 0.08435901 0.08096269 0.07934777 0.04971888 0.03432690 0.03319187 0.02673563 0.00134590 0.00133285 0.00058877 0.00040420 0.00038833 0.00028460 0.00024004 0.00016431 0.00014370 0.00010543 0.00008350 0.00006342 0.00005255 0.00002893 0.00001635 0.00000047 0.00000037 0.00000014 0.00000012	6.177172062344531	93.75647928301508
06_24_24_SBJUN20_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.6677926322529778), ('JN.1.7* (JN.1.7.X)', 0.1847128859050352), ('KP.3* (KP.3.X)', 0.09178633841352675), ('KP.2* (KP.2.X)', 0.05570571789491878), ('Other', 4.9996791350403865e-06), ('Omicron', 9.365751093908499e-07), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 5.21158456971561e-07), ('Delta', 2.7499185688055164e-07)]	LB.1.3 JN.1.57 JN.1.7.3 JN.1.7.4 JN.1.7.1 JN.1.7 KP.3.1 KP.3.1.3 KP.2 KP.5 KP.3 KP.2.7 JN.1.11.1 JN.1.13 LB.1.7 KP.3.3 KP.4.1.3 JN.1.43.1 JN.1.42.2 JN.1.42 LL.1 JN.1.55 JN.1.55.2 JN.1.48 JN.1.49 JN.1.49.1 JN.1.49.2 LE.1.1 JN.1.4.7 LE.1 B.1.408 B.1.265 BA.2.68 AY.46.1 GK.1.1.1 XBB.1.5.50 CP.7 KP.2.14 BQ.1.1.40 B.53 N.8 KP.3.2.2 B.1.160.16 JN.1.52 XCG	0.43085036 0.13103697 0.04617831 0.04617819 0.04617819 0.04617819 0.03149604 0.03149603 0.02785278 0.02785278 0.02785278 0.02785278 0.02785275 0.02575810 0.02061845 0.00094138 0.00068493 0.00055206 0.00040518 0.00040518 0.00038464 0.00023137 0.00023137 0.00014885 0.00013750 0.00013750 0.00013750 0.00012235 0.00012235 0.00012235 0.00000395 0.00000060 0.00000058 0.00000027 0.00000027 0.00000026 0.00000020 0.00000016 0.00000016 0.00000013 0.00000012 0.00000011 0.00000011 0.00000010 0.00000010	4.311260445637257	79.98862990335418
06_17_24_ENCJUN12_R1__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.5482652672126371), ('KP.2* (KP.2.X)', 0.29391627520254276), ('KP.3* (KP.3.X)', 0.1349196917061695), ('JN.1.7* (JN.1.7.X)', 0.02249997706562153), ('Other', 0.0003988547044240511), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 2.5473372696421733e-07), ('Omicron', 1.1578405584697888e-07)]	KP.2.6 JN.1.16.1 LB.1 KP.3 LB.1.7 KP.1.1.1 JN.1.37 JN.1.7.4 KP.1.1 JN.1.39.3 KU.2 JN.1.6.1 JN.1.52 JN.1.57.1 KP.2.2 JN.3.3 XDP JN.1.55 LE.1.2 LM.1 JN.1.49.1 JN.1.5 JN.1.48.2 XDQ.2 JN.1.3 LF.3 BA.2.86.1 KP.3.2.4 KP.3.2.3 LW.1 B.1.304 GK.1.10 JN.17 BQ.1.1.63	0.29342500 0.16325739 0.16325739 0.13475422 0.10110599 0.04812270 0.04784132 0.02249998 0.01767624 0.00262123 0.00081036 0.00075414 0.00051841 0.00049285 0.00049128 0.00045703 0.00026241 0.00024980 0.00019416 0.00017825 0.00016798 0.00014267 0.00014055 0.00013558 0.00010643 0.00009413 0.00007601 0.00005718 0.00005415 0.00005415 0.00000087 0.00000025 0.00000023 0.00000012	8.05508136728326	91.5727518978029
06_03_24_PLMAY27_R2__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.5990055537529989), ('KP.2* (KP.2.X)', 0.31417803346635564), ('JN.1.7* (JN.1.7.X)', 0.08089889175942092), ('KP.3* (KP.3.X)', 0.005917100754001074), ('Other', 3.2915555052161525e-07), ('Omicron', 1.1207355197838945e-07)]	KP.2.3 JN.1.39 JN.1.42.2 JN.1.42 JN.1.7.3 JN.1.7 JN.1.7.1 KP.1.1.1 JN.1.36 JN.1.11.1 KP.2 KP.2.5 KP.3.3 JN.1.63 JN.1.43.1 JN.16 JN.1.52 KY.1 JN.1.54 KP.2.2 KP.2.3.2 KP.2.3.3 JN.1.38 JN.1.25 JN.1.25.1 JN.1.39.3 JN.1.7.6 KP.2.9 JN.1.27 LF.3.1 JN.1.4 JN.1.4.4 JN.1.55 JN.1.8.2 JN.1.49 JN.1.49.1 JN.1.53.1 JN.1.48.2 JN.1.19 KP.4.1 B.30 BE.3 B.1.593 B.1.177.34	0.30016030 0.19759744 0.17642383 0.17642383 0.02689441 0.02689441 0.02689441 0.02450819 0.00657109 0.00635299 0.00635299 0.00635299 0.00591710 0.00289854 0.00202429 0.00193796 0.00093196 0.00084531 0.00046620 0.00043128 0.00034284 0.00034284 0.00033036 0.00025529 0.00025529 0.00021656 0.00021567 0.00019479 0.00019270 0.00016035 0.00011279 0.00011279 0.00009049 0.00007804 0.00006369 0.00006369 0.00005370 0.00003779 0.00000025 0.00000016 0.00000012 0.00000011 0.00000011 0.00000010	6.951513746565459	93.8501153730395
06_10_24_SBJUN04_R1__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.variants.tsv	[('KP.3* (KP.3.X)', 0.6451962602036413), ('BA.2.86* (BA.2.86.X)', 0.3537193650711571), ('KP.2* (KP.2.X)', 0.0005239272239041028), ('Other', 0.00024603129925403997), ('JN.1.18* (JN.1.18.X)', 0.00019751045628834153), ('A', 0.00011695544901870051)]	KP.3.3 KP.3.2 JN.1.15.1 JN.1.4 JN.1.8.2 JN.1 JN.1.28 JN.1.8 KP.3.1 JN.1.44 KP.3.2.1 JN.1.53 JN.1.29 JN.1.4.8 KP.3.2.2 JN.1.25 KY.1 KP.3.2.3 JN.1.38 JN.1.55 JN.1.39.3 JN.1.49 KP.2.15 JN.1.56 KP.1.1.4 JN.1.18.2 LE.2 JQ.2.1 JN.1.28.1 BA.2.86.7 JN.1.27 KP.3.2.4 JN.1.3 KP.2.16 LF.3 JN.1.53.1 A.2.5.2 JN.1.8.3 KP.2.12 JN.1.6 XDQ.1.1 XDK.1.2 JN.1.10 KR.1.1 JN.3.2.1 BA.2.86.3 JN.1.5 JN.1.17 KP.2.3.1 JN.1.2.1 B.1.619.1 JQ.1 JN.1.48.2 B.1.438.4 JN.1.58.1 BA.2.86.4 XCW	0.43211000 0.19731832 0.10587594 0.10253986 0.03821732 0.03121277 0.03121277 0.03121277 0.01323890 0.00641026 0.00147384 0.00111990 0.00066849 0.00056481 0.00048086 0.00046370 0.00045767 0.00042808 0.00035051 0.00033944 0.00033641 0.00029192 0.00026002 0.00024108 0.00022279 0.00019751 0.00018931 0.00018073 0.00017671 0.00016202 0.00014719 0.00014626 0.00013767 0.00011993 0.00011849 0.00011772 0.00011696 0.00010858 0.00009978 0.00009858 0.00008897 0.00008676 0.00008573 0.00008378 0.00008203 0.00005297 0.00004845 0.00004819 0.00004420 0.00004222 0.00004095 0.00003277 0.00003082 0.00002920 0.00002551 0.00001147 0.00000015	7.209081349233679	97.22435875999064
06_17_24_PLJUN09_R2__E0000000__X00__240627_1_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.5430873977601054), ('KP.2* (KP.2.X)', 0.24693174162012435), ('KP.3* (KP.3.X)', 0.18890698479162618), ('JN.1.7* (JN.1.7.X)', 0.020708498931539785), ('JN.1.18* (JN.1.18.X)', 0.00027299850464434605), ('Other', 9.234185851822354e-05), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 1.4277344134429765e-07), ('Omicron', 1.3501524858384543e-07)]	KP.5 KP.2 KP.3.1 LB.1 LB.1.3 KP.1.1.3 LF.3 KP.3.3 KP.2.4 KP.2.3.2 KP.2.3.3 JN.1.7.4 JN.1.24.1 JN.1.51.1 KP.2.15 JN.1.27 KP.2.13 KP.3.1.4 KP.2.10 LQ.1 JN.1.8.1 JN.1.8.2 LM.1 JN.1.6.1 KS.1 KP.2.16 KP.2.2 XDV JN.1.5 JN.3.2.1 JN.1.49.1 B.1.177.37 GK.1.4 XAQ	0.21536601 0.17971410 0.14012232 0.10055074 0.08343710 0.06555209 0.05912010 0.04837700 0.02281290 0.02131135 0.02131134 0.02070850 0.01663925 0.00066137 0.00063339 0.00050665 0.00050403 0.00040766 0.00035099 0.00027300 0.00022948 0.00022943 0.00022158 0.00021691 0.00020954 0.00015372 0.00013992 0.00009212 0.00005433 0.00004654 0.00004627 0.00000022 0.00000014 0.00000014	7.620868694948586	94.88345650938032
05_28_24_PLMAY19_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.9294910770468509), ('JN.1.7* (JN.1.7.X)', 0.043405310439557136), ('KP.3* (KP.3.X)', 0.02680595143894578), ('Other', 0.0003299683077460677), ('Omicron', 1.2608890532981387e-05), ('XBB* (XBB.X)', 6.727756910412364e-06), ('Delta', 5.302761116257929e-06), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 2.275499977555076e-06), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 2.050507532874307e-06), ('Iota', 2.0101898107263934e-06), ('EG.5* [Omicron (EG.5.X)]', 1.7281631977784235e-06), ('BA.2.75* [Omicron (BA.2.75.X)]', 1.2822922489883945e-06), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 7.576098617466383e-07), ('A', 4.6537255188625765e-07), ('Gamma', 1.8743701878346966e-07), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.852598330266385e-07), ('XBB.2.3* (XBB.2.3X)', 1.5317765428107548e-07), ('Alpha', 1.0055768058853391e-07)]	LB.1.1 JN.1.16.3 JN.1.7.4 KP.3.3 JN.1.39 JN.1.16 JN.1.53.1 JN.1.3 JN.1.29.1 XEB JN.1.39.1 JN.1.5 KR.1 LF.3 JN.1.36 B.1.187 XBB.9 XBB.1.49 JN.1.7.5 AY.92 B.1.526 BA.5.2.7 FU.5 B.1.408 B.1.1.305 B.1.1.482 BQ.1.1.19 B.1.535 B.1.177.42 AY.73 GW.3 BT.1 BE.3 B.1.177.12 B.1.177.43 JR.1 JN.1.1.9 GK.1.6.1 BF.38.3 C.16 XCL JN.3.2 B.1.505 HK.29 BG.2 B.15 GY.8 BN.1.3.11 B.1.610 AY.112.1 FD.5.1 CK.1.5 B.1.9.4 JN.1.48 BA.1.1.6 AY.101 XCM B.1.304 B.1.1.213 JN.3.2.1 B.12 FL.5.1 FL.11 XAD AY.46.1 XDC LN.1.1 B.1.170 XBK.1 B.1.573 XBB.1.5.62 BA.2.9 B.1.531 XCV BQ.1.21 AY.21 B.1.1.442 B.1.532 BQ.1.11 XDS XBF.9 B.1.177.87 BN.1.4 BA.2.3.14 CJ.1.3 XCR BF.36 XBC.1.6.5 LR.1 JN.1.36.1 B.1.559 EG.5.1.5 LM.1 XCW LF.1.1 BA.5.2.51 C.2.1 P.1.17 BL.4 CH.1.1.15 JN.1.57 EF.1.2 KR.1.2 B.6.2 A.19 XBJ.1.1 GT.1 B.1.1.389 KV.1 JN.1.39.2 JN.1.16.1 LB.1 BF.5.5 XBB.7 XBR BA.4.6.5 BA.2.9.6 EG.5.2.2 B.1.363 XBB.2.3.15 JN.1.43.1 LD.1 JN.1.48.1 AY.39.1.4 A.25 B.1.316 BA.2.9.2 JN.1.48.2 CC.1 XDD AY.4.15 BA.2.16 BA.4.2 B.1.243.2 JN.1.51.1 BQ.1.12 XDF JD.1.2.1 BQ.1.1.57 XDD.2 A.17 AY.112.2 XBC.1.3 KV.2 BA.5.1.1 JN.1.2.1 JN.1.14 HP.1.1 AF.1 B.1.637.1 CH.3.1 AY.17 JM.1 CQ.1.1 XBB.1.5.65 EE.4 BQ.1.1.23 B.1.599 XBB.5 FD.1.1 B.1.443 B.1.516 XJ BF.19 B.1.177.41 BA.5.2.12 EQ.1 BF.5.3 BQ.1.1.30 JN.1.55.2 B.1.177.34 BA.2.34 XAY.1.2 JN.1.16.2 XBZ AY.112.3 B.1.177.44 B.1.177.4 GA.4.1.3 BA.2.9.3 HR.1.1 AY.122.5 HK.25 BF.22 KR.1.1 DN.1.1.3 KE.1 FL.10.2 LE.1.3.1 XBB.1.5.42 BA.1.22 BN.1.2.2 LA.2 BA.1.24 Q.6	0.83646036 0.05574199 0.04340284 0.02680595 0.02332335 0.01176233 0.00068871 0.00055725 0.00044474 0.00029918 0.00012629 0.00011020 0.00009953 0.00009184 0.00007872 0.00001250 0.00000262 0.00000262 0.00000247 0.00000212 0.00000201 0.00000179 0.00000169 0.00000161 0.00000128 0.00000124 0.00000118 0.00000115 0.00000104 0.00000103 0.00000099 0.00000094 0.00000082 0.00000079 0.00000078 0.00000078 0.00000067 0.00000063 0.00000062 0.00000060 0.00000059 0.00000056 0.00000051 0.00000049 0.00000047 0.00000046 0.00000046 0.00000045 0.00000045 0.00000045 0.00000042 0.00000042 0.00000041 0.00000041 0.00000040 0.00000038 0.00000038 0.00000037 0.00000036 0.00000036 0.00000035 0.00000034 0.00000031 0.00000030 0.00000029 0.00000028 0.00000028 0.00000027 0.00000026 0.00000026 0.00000026 0.00000025 0.00000025 0.00000025 0.00000024 0.00000024 0.00000024 0.00000024 0.00000024 0.00000023 0.00000023 0.00000021 0.00000021 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000020 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000019 0.00000018 0.00000018 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000017 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000016 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000015 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000014 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000013 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000012 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000011 0.00000010 0.00000010 0.00000010 0.00000010 0.00000010	3.290683829239523	85.33257532689028
05_28_24_SBMAY23_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.variants.tsv	[('JN.1.7* (JN.1.7.X)', 0.7018659973576621), ('BA.2.86* (BA.2.86.X)', 0.297096367303101), ('JN.1.18* (JN.1.18.X)', 0.0005470439065433842), ('KP.3* (KP.3.X)', 0.00042808118175763875), ('Other', 6.243361996209447e-05)]	JN.1.7 JN.1.11 JN.1.57 JN.1.7.4 JN.1 JN.1.28 JN.1.8 JN.1.16 JN.1.21 JN.1.34 JN.1.38 JN.1.7.7 JN.1.58 LB.1.4 LH.1 JN.1.4 BA.2.86.1 JN.1.47 JN.1.25 JN.1.43.1 KP.3.2.5 JN.1.3 JN.1.23 JN.1.27 JN.1.48.2 LB.1.5 BA.2.86.7 JN.1.55.1 LM.1 JN.1.53.1 KP.3.2.3 LF.3 XDP.1 JN.3.2.1	0.67065445 0.11578591 0.09970596 0.03049360 0.01836651 0.01836651 0.01836651 0.01167390 0.00606061 0.00249066 0.00116144 0.00071795 0.00069049 0.00066845 0.00054704 0.00045639 0.00043770 0.00041911 0.00035360 0.00035340 0.00031723 0.00028588 0.00026731 0.00023903 0.00018132 0.00017873 0.00014802 0.00012504 0.00011449 0.00011345 0.00011085 0.00006770 0.00006243 0.00001828	2.679401679627473	91.5928167742367
06_10_24_PLJUN02_R2__E0000000__X00__240624_4_SG_WW__001.trimmed.sorted.variants.tsv	[('KP.2* (KP.2.X)', 0.4846402429005108), ('BA.2.86* (BA.2.86.X)', 0.4810465943349052), ('KP.3* (KP.3.X)', 0.028085855799929813), ('Other', 0.006207497749388689), ('JN.1.7* (JN.1.7.X)', 1.9757070452669083e-05)]	KP.2.3 JN.1.11 KP.2.2 JN.1.11.1 JN.1.42 KP.1.1.1 KP.3.3 KP.2.3.2 KP.2.3.3 KR.1.1 KP.5 XDP KP.2.15 JN.1.54 KP.3.2.5 JN.1.4.8 KP.2.9 JN.1.8.1 KP.1.1.4 XDV.1 LE.2 KP.4.1.3 KP.2.16 JN.1.39.3 JN.1.5 JN.1.55 JN.1.14 XDQ JN.1.3 JN.1.48.2 XDP.1 LW.1 KP.3.2.3 BA.2.86.7 JN.1.7.6 XDN	0.35785400 0.26622084 0.08436742 0.07720259 0.05796843 0.05702950 0.02767750 0.02042400 0.02042400 0.01332684 0.00637285 0.00578823 0.00107836 0.00067415 0.00032410 0.00030423 0.00029240 0.00027968 0.00025267 0.00023399 0.00022833 0.00021744 0.00020007 0.00019600 0.00018060 0.00017669 0.00015875 0.00014017 0.00012590 0.00008927 0.00004414 0.00004213 0.00004213 0.00004183 0.00001976 0.00000096	7.996502151997921	94.37514630639066
06_24_24_SBJUN23_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.7102728599499218), ('KP.2* (KP.2.X)', 0.17886934989932982), ('JN.1.7* (JN.1.7.X)', 0.10082703564191237), ('KP.3* (KP.3.X)', 0.00984903549568263), ('XBB* (XBB.X)', 0.00014977554821821417), ('Omicron', 3.11615042193111e-05), ('Other', 2.1571148591291516e-06), ('A', 5.920831945495314e-07), ('BA.2.75* [Omicron (BA.2.75.X)]', 5.473134766791923e-07), ('JN.1.18* (JN.1.18.X)', 4.90792913666849e-07), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 2.9265641018751655e-07), ('CH.1.1* [Omicron (CH.1.1.X)]', 1.2891528338502315e-07)]	LB.1.1 KP.5 JN.1.7.3 KP.2.2 KP.2.5 KP.2 LF.3 KP.2.3.3 KP.2.3.2 KP.3.3 JN.1.58.2 KP.2.15 JN.1.57.1 JN.1.3 JN.1.50.1 JN.1.35 JN.1.10 LE.1.2 JN.1.52 JN.1.25.1 JQ.1 KR.1.1 JN.1.49.1 JN.1.29 KP.1.1.3 LF.1.1.1 LD.1 KP.2.9 JN.3.2.1 JN.1.55 XBB.8 LM.1 KP.4.2.2 LB.1.5 JN.1.54 BA.2.10.4 JN.1.36 XBB.1.41.2 KP.2.16 XBB.9 B.1.637.1 LF.3.1 A.2.4 CJ.1.1 JN.1.32.1 JN.1.32 JN.1.18 JN.1.9.2 LE.2 BF.42 BA.2.3.7 JM.1 BQ.1.1.54 BF.7.4.1 XBB.6 JN.1.27 FK.1.2.2 LU.1 LW.1 KP.3.2.3	0.53819760 0.13322437 0.10082704 0.07160393 0.04084760 0.04084760 0.03013716 0.01213304 0.01213304 0.00984882 0.00407015 0.00115001 0.00080684 0.00048808 0.00040121 0.00029523 0.00029177 0.00027103 0.00024816 0.00022212 0.00019651 0.00018836 0.00016280 0.00015607 0.00014784 0.00012814 0.00012741 0.00012708 0.00011146 0.00011067 0.00010438 0.00009311 0.00006323 0.00005529 0.00004557 0.00003011 0.00002890 0.00002763 0.00002705 0.00001761 0.00000216 0.00000163 0.00000059 0.00000055 0.00000049 0.00000049 0.00000049 0.00000049 0.00000041 0.00000037 0.00000029 0.00000029 0.00000022 0.00000017 0.00000016 0.00000015 0.00000013 0.00000011 0.00000011 0.00000011	5.418582564960113	95.89673276928737
06_24_24_PLJUN17_R2__E0000000__X00__240627_2_SG_WW__001.trimmed.sorted.variants.tsv	[('KP.2* (KP.2.X)', 0.5135420026238494), ('BA.2.86* (BA.2.86.X)', 0.2769737341057875), ('KP.3* (KP.3.X)', 0.20875299933597055), ('Other', 0.00043235272778739865), ('JN.1.7* (JN.1.7.X)', 0.00019688860345286137), ('A', 7.009918410441933e-05), ('XBB.2.3* (XBB.2.3X)', 1.9585181447274845e-05), ('Omicron', 1.234197681903018e-05)]	KP.2.3 KP.3.1 JN.1.11 LB.1.3 KP.3.2 KP.3.3 KP.5 JN.1.13 JN.1.16.3 KP.2.3.2 KP.2.3.3 JN.1.24.1 KP.1.1.1 KP.1.1.3 KP.2.2 JN.1.51.1 LB.1.4 JN.1.25.1 JN.1.8.1 KP.3.1.2 KP.1.1.4 KP.3.2.1 JN.2.5 KP.3.2.2 JN.1.47.1 LP.1 XDK.1.2 LM.1 KP.3.2.3 KP.2.15 JN.1.7.2 KP.2.3.1 JN.1.5 LE.1.2 LD.1 KS.1 KP.2.12 JN.1.29.1 JN.1.3 JN.1.48.2 LF.3 KP.2.16 JN.1.17 JN.1.49.1 JN.3.2.1 JN.2.4 KR.1.1 JN.1.38 JN.1.55 KP.2.9 KP.3.2.4 JQ.2 XDQ.1.1 KP.2.6 LF.3.1 B.1.626 A.28 A.2.5.2 JN.1.31 LE.1.3.1 B.1.177.34 XAW KH.1 JN.1.41 JN.2.2.1 BF.5.3 KP.3.1.1	0.46575860 0.09190100 0.08942553 0.06848480 0.06047912 0.05480300 0.03023287 0.02933192 0.02707331 0.02121935 0.02121935 0.00989523 0.00861399 0.00771554 0.00450324 0.00065531 0.00055249 0.00054896 0.00049706 0.00048540 0.00043607 0.00040883 0.00037963 0.00035208 0.00033931 0.00029200 0.00028508 0.00024072 0.00022482 0.00021605 0.00019689 0.00018919 0.00018235 0.00017662 0.00016816 0.00016408 0.00016140 0.00015571 0.00015385 0.00013192 0.00012630 0.00012481 0.00012435 0.00012427 0.00012072 0.00012059 0.00011447 0.00009629 0.00009599 0.00009537 0.00009344 0.00006427 0.00005603 0.00005463 0.00005374 0.00004420 0.00003657 0.00003353 0.00002916 0.00002736 0.00002724 0.00001980 0.00001959 0.00001634 0.00001247 0.00001234 0.00000529	7.588247764357033	97.33805972644885
06_03_24_SBJUN02_R2__E0000000__X00__240624_2_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.8812532096124314), ('KP.2* (KP.2.X)', 0.11098661555784879), ('JN.1.7* (JN.1.7.X)', 0.0063169831745760255), ('JN.1.18* (JN.1.18.X)', 0.0010359843945974797), ('Omicron', 0.0002911132029944652), ('XBB* (XBB.X)', 6.246475605358691e-05), ('Other', 5.3568508109926515e-05)]	KP.5 KP.1.2 KP.2.4 LF.3.1 LF.3 JN.1.11 JN.1.7.3 KP.2.15 LQ.1 KP.2.3.2 KP.2.3.3 KP.1.1.1 LQ.3 KP.1.1.3 KP.2.16 KW.1 KP.2.9 JN.1.8.3 JN.1.8.1 XAQ XH JN.1.4.8 EV.1 XCZ XBB.1.19.2 JN.1.29 JN.1.49.1 BF.42 BA.4.1.10 JN.3.2.1 GA.9 B.1.177.34	0.53889136 0.14267003 0.10553701 0.09792180 0.08737587 0.01315098 0.00631698 0.00412788 0.00072088 0.00050810 0.00050810 0.00043478 0.00031511 0.00027518 0.00019163 0.00014448 0.00011388 0.00011330 0.00009967 0.00008883 0.00006712 0.00006268 0.00006114 0.00005344 0.00004636 0.00004203 0.00003911 0.00003781 0.00003620 0.00003193 0.00001611 0.00000013	6.74709747753918	96.52877637695215
05_28_24_PLMAY20_R1__E0000000__X00__240624_1_SG_WW__001.trimmed.sorted.variants.tsv	[('BA.2.86* (BA.2.86.X)', 0.8676022752606689), ('KP.2* (KP.2.X)', 0.08025361390844711), ('JN.1.7* (JN.1.7.X)', 0.05214375034919038)]	JN.1.11 KP.5 JN.1.48 KP.1.1.1 KP.2.16 JN.1.30 JN.1.36 LB.1.1 JN.1.7.1 JN.1.7 JN.1.7.3 KP.2.3.1 JN.1.21 JN.10 JN.1.25 JN.1.25.1 JN.1.7.6 JN.1.57.1 JN.1.48.2 JN.1.49.1 JN.1.49 LF.3 JN.3.2.1	0.33099096 0.18352917 0.11772426 0.10437900 0.07363110 0.06704440 0.03539410 0.02419738 0.01724619 0.01724619 0.01724619 0.00662251 0.00132626 0.00105511 0.00044914 0.00044914 0.00040519 0.00029338 0.00022472 0.00019395 0.00019395 0.00009349 0.00006389	3.8233443845668167	84.40959101093536
