sample_name,collection_date,geo_loc_name
5_20_24_PLMAY12_R1,2024-05-12,Point Loma
5_20_24_ENCMAY13_R1,2024-05-13,Encina
5_20_24_ENCMAY14_R1,2024-05-14,Encina
5_20_24_PLMAY15_R1,2024-05-15,Point Loma
5_20_24_ENCMAY15_R1,2024-05-15,Encina
05_28_24_PLMAY19_R1,2024-05-19,Point Loma
05_28_24_PLMAY19_R1,2024-05-19,Point Loma
05_28_24_PLMAY20_R1,2024-05-20,Point Loma
05_28_24_PLMAY20_R1,2024-05-20,Point Loma
05_28_24_PLMAY21_R1,2024-05-21,Point Loma
05_28_24_PLMAY21_R1,2024-05-21,Point Loma
05_28_24_SBMAY21_R2,2024-05-21,South Bay
05_28_24_SBMAY21_R2,2024-05-21,South Bay
05_28_24_SBMAY23_R1,2024-05-23,South Bay
05_28_24_SBMAY23_R1,2024-05-23,South Bay
05_28_24_ENCMAY24_R1,2024-05-24,Encina
05_28_24_ENCMAY24_R1,2024-05-24,Encina
06_03_24_PLMAY26_R1,2024-05-26,Point Loma
06_03_24_PLMAY26_R1,2024-05-26,Point Loma
06_03_24_PLMAY27_R2,2024-05-27,Point Loma
06_03_24_PLMAY27_R2,2024-05-27,Point Loma
05_28_24_ENCMAY27_R2,2024-05-27,Encina
05_28_24_ENCMAY27_R2,2024-05-27,Encina
06_03_24_PLMAY28_R2,2024-05-28,Point Loma
06_03_24_ENCMAY28_R1,2024-05-28,Encina
06_03_24_PLMAY28_R2,2024-05-28,Point Loma
06_03_24_ENCMAY28_R1,2024-05-28,Encina
06_03_24_SBMAY28_R2,2024-05-28,South Bay
06_03_24_SBMAY28_R2,2024-05-28,South Bay
06_03_24_PLMAY29_R2,2024-05-29,Point Loma
06_03_24_PLMAY29_R2,2024-05-29,Point Loma
06_03_24_ENCMAY31_R1,2024-05-31,Encina
06_03_24_ENCMAY31_R1,2024-05-31,Encina
06_10_24_PLJUN02_R2,2024-06-02,Point Loma
06_03_24_SBJUN02_R2,2024-06-02,South Bay
06_03_24_SBJUN02_R2,2024-06-02,South Bay
06_10_24_PLJUN02_R2,2024-06-02,Point Loma
06_10_24_PLJUN03_R1,2024-06-03,Point Loma
06_10_24_PLJUN03_R1,2024-06-03,Point Loma
06_10_24_PLJUN04_R1,2024-06-04,Point Loma
06_10_24_SBJUN04_R1,2024-06-04,South Bay
06_10_24_SBJUN04_R1,2024-06-04,South Bay
06_10_24_ENCJUN04_R2,2024-06-04,Encina
06_10_24_PLJUN04_R1,2024-06-04,Point Loma
06_10_24_PLJUN05_R1,2024-06-05,Point Loma
06_10_24_PLJUN05_R1,2024-06-05,Point Loma
06_10_24_ENCJUN05_R2,2024-06-05,Encina
06_10_24_ENCJUN05_R2,2024-06-05,Encina
06_10_24_SBJUN09_R1,2024-06-09,South Bay
06_10_24_SBJUN09_R1,2024-06-09,South Bay
06_17_24_PLJUN09_R2,2024-06-09,Point Loma
06_17_24_PLJUN09_R2,2024-06-09,Point Loma
06_17_24_ENCJUN10_R2,2024-06-10,Encina
06_17_24_PLJUN10_R2,2024-06-10,Point Loma
06_17_24_PLJUN10_R2,2024-06-10,Point Loma
06_17_24_ENCJUN10_R2,2024-06-10,Encina
06_17_24_PLJUN11_R2,2024-06-11,Point Loma
06_17_24_PLJUN11_R2,2024-06-11,Point Loma
06_17_24_PLJUN12_R1,2024-06-12,Point Loma
06_17_24_ENCJUN12_R1,2024-06-12,Encina
06_17_24_PLJUN12_R1,2024-06-12,Point Loma
06_17_24_ENCJUN12_R1,2024-06-12,Encina
06_18_24_SBJUN13_R2,2024-06-13,South Bay
06_18_24_SBJUN13_R2,2024-06-13,South Bay
06_24_24_PLJUN16_R2,2024-06-16,Point Loma
06_24_24_PLJUN16_R2,2024-06-16,Point Loma
06_17_24_SBJUN16_R1,2024-06-16,South Bay
06_17_24_SBJUN16_R1,2024-06-16,South Bay
06_24_24_PLJUN17_R2,2024-06-17,Point Loma
06_24_24_PLJUN17_R2,2024-06-17,Point Loma
06_24_24_PLJUN18_R2,2024-06-18,Point Loma
06_24_24_PLJUN18_R2,2024-06-18,Point Loma
06_24_24_PLJUN19_R1,2024-06-19,Point Loma
06_24_24_PLJUN19_R1,2024-06-19,Point Loma
06_24_24_ENCJUN19_R2,2024-06-19,Encina
06_24_24_SBJUN20_R2,2024-06-20,South Bay
06_24_24_ENCJUN20_R2,2024-06-20,Encina
06_24_24_SBJUN20_R2,2024-06-20,South Bay
06_24_24_ENCJUN20_R2,2024-06-20,Encina
06_24_24_SBJUN23_R2,2024-06-23,South Bay
06_24_24_SBJUN23_R2,2024-06-23,South Bay
07_01_24_PLJUN23_R2,2024-06-23,Point Loma
07_01_24_PLJUN24_R1,2024-06-24,Point Loma
07_01_24_PLJUN25_R2,2024-06-25,Point Loma
07_01_24_SBJUN25_R1,2024-06-25,South Bay
07_01_24_ENCJUN26_R2,2024-06-26,Encina
07_01_24_PLJUN26_R1,2024-06-26,Point Loma
07_01_24_SBJUN27_R2,2024-06-27,South Bay
07_01_24_ENCJUN28_R2,2024-06-28,Encina
07_08_24_PLJUN30_R1,2024-06-30,Point Loma
07_08_24_PLJUL01_R1,2024-07-01,Point Loma
07_08_24_ENCJUL03_R2,2024-07-03,Encina
07_08_24_PLJUL03_R2,2024-07-03,Point Loma
07_08_24_SBJUL04_R2,2024-07-04,South Bay
07_08_24_PLJUL04_R1,2024-07-04,Point Loma
07_08_24_ENCJUL05_R1,2024-07-05,Encina
07_08_24_SBJUL07_R2,2024-07-07,South Bay
07_15_24_PLJUL07_R1,2024-07-07,Point Loma
07_15_24_PLJUL08_R2,2024-07-08,Point Loma
07_15_24_PLJUL09_R1,2024-07-09,Point Loma
07_15_24_ENCJUL09_R2,2024-07-09,Encina
07_15_24_ENCJUL10_R1,2024-07-10,Encina
07_15_24_PLJUL10_R1,2024-07-10,Point Loma
07_15_24_SBJUL11_R1,2024-07-11,South Bay
07_22_24_PLJUL14_R1,2024-07-14,Point Loma
07_15_24_SBJUL14_R2,2024-07-14,South Bay
07_22_24_PLJUL15_R2,2024-07-15,Point Loma
07_22_24_PLJUL16_R2,2024-07-16,Point Loma
07_22_24_ENCJUL17_R1,2024-07-17,Encina
07_22_24_PLJUL17_R2,2024-07-17,Point Loma
07_22_24_SBJUL18_R2,2024-07-18,South Bay
07_22_24_ENCJUL18_R1,2024-07-18,Encina
07_22_24_SBJUL21_R2,2024-07-21,South Bay
07_29_24_PLJUL21_R1,2024-07-21,Point Loma
07_29_24_PLJUL22_R1,2024-07-22,Point Loma
07_29_24_SBJUL23_R1,2024-07-23,South Bay
07_29_24_PLJUL23_R2,2024-07-23,Point Loma
07_29_24_PLJUL24_R2,2024-07-24,Point Loma
07_29_24_ENCJUL25_R2,2024-07-25,Encina
07_29_24_SBJUL25_R1,2024-07-25,South Bay
